Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1248822;04-04-2024;00:02:56;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248823;04-04-2024;00:02:56;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248824;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248825;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248826;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248827;04-04-2024;00:02:59;7;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248828;04-04-2024;00:02:59;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248829;04-04-2024;00:02:59;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248830;04-04-2024;00:02:59;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248831;04-04-2024;00:03:00;2;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248832;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248833;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248834;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248835;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248836;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248837;04-04-2024;00:03:06;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248838;04-04-2024;00:03:07;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248839;04-04-2024;00:03:07;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248840;04-04-2024;00:03:07;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248841;04-04-2024;00:03:08;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248842;04-04-2024;00:03:08;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248843;04-04-2024;00:03:08;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248844;04-04-2024;00:03:08;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248845;04-04-2024;00:03:08;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248846;04-04-2024;00:03:08;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248847;04-04-2024;00:03:20;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248848;04-04-2024;00:03:20;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248849;04-04-2024;00:03:20;10;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248850;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248851;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248852;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248853;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248854;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248855;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248856;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248857;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248858;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248859;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248860;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248861;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248862;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248863;04-04-2024;00:03:22;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248864;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248865;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248866;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248867;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248868;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248869;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248870;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248871;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248872;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248873;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248874;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248875;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248876;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248877;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248878;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248879;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248880;04-04-2024;00:03:23;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248881;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248882;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248883;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248884;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248885;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248886;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248887;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248888;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248889;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248890;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248891;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248892;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248893;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248894;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248895;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248896;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248897;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248898;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248899;04-04-2024;00:03:24;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
1248900;04-04-2024;00:03:25;5;-;Trovan Unique;00079FEADE;-;00000000;00000000;-;""
