Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
1506076;21-03-2024;03:05:02;3;-;Trovan Unique;0007A3DD05;-;00000000;00000000;-;""
1506077;21-03-2024;03:05:03;3;-;Trovan Unique;0007A3DD05;-;00000000;00000000;-;""
1506078;21-03-2024;03:05:07;7;-;Trovan Unique;0007A3DD05;-;00000000;00000000;-;""
1506079;21-03-2024;03:07:50;7;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
1506080;21-03-2024;03:07:52;3;-;Trovan Unique;00079FC9A0;-;00000000;00000000;-;""
1506081;21-03-2024;03:13:24;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506082;21-03-2024;03:13:24;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506083;21-03-2024;03:13:24;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506084;21-03-2024;03:13:48;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506085;21-03-2024;03:13:48;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506086;21-03-2024;03:14:16;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506087;21-03-2024;03:14:16;7;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506088;21-03-2024;03:15:04;3;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506089;21-03-2024;03:15:04;3;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506090;21-03-2024;03:15:10;7;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506091;21-03-2024;03:15:10;7;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506092;21-03-2024;03:15:24;3;-;Trovan Unique;0007A3C016;-;00000000;00000000;-;""
1506093;21-03-2024;03:16:52;7;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506094;21-03-2024;03:17:21;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1506095;21-03-2024;03:17:21;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1506096;21-03-2024;03:17:48;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1506097;21-03-2024;03:17:48;7;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1506098;21-03-2024;03:17:49;1;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506099;21-03-2024;03:17:51;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1506100;21-03-2024;03:17:51;3;-;Trovan Unique;00079FED08;-;00000000;00000000;-;""
1506101;21-03-2024;03:19:31;1;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506102;21-03-2024;03:20:21;7;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506103;21-03-2024;03:20:21;7;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506104;21-03-2024;03:21:01;7;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506105;21-03-2024;03:21:03;1;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506106;21-03-2024;03:21:07;1;-;Trovan Unique;0007A40088;-;00000000;00000000;-;""
1506107;21-03-2024;03:28:03;3;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506108;21-03-2024;03:28:03;3;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506109;21-03-2024;03:28:05;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506110;21-03-2024;03:28:05;7;-;Trovan Unique;0007A3FDE2;-;00000000;00000000;-;""
1506111;21-03-2024;03:48:21;7;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
1506112;21-03-2024;03:48:21;7;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
1506113;21-03-2024;03:48:21;7;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
1506114;21-03-2024;03:48:36;3;-;Trovan Unique;0007A3DC62;-;00000000;00000000;-;""
1506115;21-03-2024;04:03:45;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506116;21-03-2024;04:03:45;7;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
1506117;21-03-2024;04:09:22;1;-;Trovan Unique;0007A3931B;-;00000000;00000000;-;""
